Feature,Importance
OCCP,0.2372601080372466
AGEP,0.1700786133757483
SCHL,0.16831430580550144
SEX,0.10185331048485281
WKHP,0.10113872086872701
MAR,0.10056622284578429
COW,0.047098277838248166
HICOV,0.028818383092337738
DIS,0.028658870504641037
CIT,0.009356181226748512
RAC1P,0.005940182943080536
NATIVITY,9.168229770836214E-4
