Feature,Importance
OCCP,0.32743457048880503
SCHL,0.22369818887941395
WKHP,0.1909033842057086
AGEP,0.09449262741502515
MAR,0.0732156041358977
SEX,0.04979197238672513
COW,0.01589200313193874
HICOV,0.011365039230630283
DIS,0.00850075795259362
CIT,0.0023670049223849772
RAC1P,0.0013555744083539778
NATIVITY,9.832728425229298E-4
