data_fraction,train_rows,train_eval_seconds,auc
0.1,1245686,54.95503640174866,0.9059499748388624
0.2,2492425,57.517704248428345,0.9058185006999308
0.4,4985977,68.87460803985596,0.9044018592002747
0.6,7475371,76.57721996307373,0.9043852532595085
0.8,9966554,82.1785478591919,0.9046715367942874
1.0,12460965,96.60994744300842,0.905058069903003
