AGEP,SEX,SCHL,MAR,OCCP,WKHP,COW,CIT,RAC1P,DIS,HICOV,NATIVITY,income_label
60,2,17,2,4700,50,7,1,1,2,1,1,0
59,1,16,3,6355,40,1,1,1,2,1,1,0
51,1,20,1,205,40,7,1,1,2,1,1,1
53,2,17,2,4120,40,1,1,1,2,1,1,0
35,2,16,1,4120,40,1,1,1,2,1,1,0
82,2,16,2,4600,40,6,1,1,2,1,1,1
55,1,16,5,4120,40,1,1,2,2,1,1,0
37,2,16,1,3645,40,1,1,1,2,1,1,0
58,1,16,1,4120,40,1,1,1,1,1,1,0
35,2,20,5,5730,40,1,1,2,2,1,1,0
19,2,18,5,4435,15,1,1,1,2,2,1,0
62,1,18,1,8600,40,1,1,1,2,1,1,1
51,1,21,1,7700,49,1,1,2,2,1,1,1
46,2,21,1,136,40,1,1,2,2,1,1,1
78,2,16,2,4120,40,1,1,1,1,1,1,0
75,2,16,3,4120,40,1,1,1,2,1,1,0
83,1,16,1,4120,40,1,1,1,2,1,1,0
82,2,14,1,4120,40,1,4,1,2,1,2,0
19,2,19,5,5400,15,1,1,6,2,1,1,0
74,2,16,1,4120,40,1,1,1,1,1,1,0
72,2,21,2,4120,40,1,1,1,1,1,1,0
13,2,10,5,4120,40,1,1,1,2,1,1,0
64,2,20,1,3255,28,4,1,2,2,1,1,1
9,1,5,5,4120,40,1,1,1,2,1,1,0
57,2,19,4,4810,20,6,1,2,2,1,1,1
13,2,10,5,4120,40,1,1,1,2,1,1,0
53,2,23,1,3258,50,7,1,1,2,1,1,1
41,2,19,1,4120,40,1,1,1,2,1,1,0
13,2,10,5,4120,40,1,1,9,2,1,1,0
19,1,16,5,4720,24,1,1,9,2,1,1,0
70,1,23,1,3255,45,6,1,2,2,1,1,1
49,1,18,3,7750,40,1,1,2,2,1,1,0
16,1,13,5,4120,40,1,1,2,1,1,1,0
62,1,17,5,4120,40,1,1,1,2,1,1,0
5,2,2,5,4120,40,1,1,1,2,1,1,0
78,1,21,1,4120,40,1,1,1,2,1,1,0
43,2,22,1,2310,55,1,1,1,2,1,1,1
78,1,23,1,410,25,7,1,1,2,1,1,1
75,1,21,3,4120,40,1,1,2,1,1,1,0
79,1,17,1,4120,40,1,1,1,1,1,1,1
50,2,14,1,9645,40,1,1,1,2,1,1,0
50,1,12,3,4120,40,1,1,2,1,1,1,0
49,2,15,3,4120,40,1,1,1,1,2,1,0
17,1,15,5,4120,40,1,1,1,2,1,1,0
55,2,21,1,4820,40,1,1,1,2,1,1,0
36,1,16,5,6330,40,1,5,8,2,2,2,0
33,2,16,5,4720,40,1,1,2,2,1,1,0
22,1,16,1,7560,45,1,1,1,2,1,1,0
8,1,6,5,4120,40,1,1,1,2,1,1,0
43,2,21,1,3255,40,1,1,1,2,1,1,1
59,1,19,1,102,65,1,1,1,1,1,1,1
67,1,18,1,6660,24,1,1,1,2,1,1,1
67,2,17,1,4120,40,1,1,1,2,1,1,0
24,1,16,1,7210,40,1,1,1,2,1,1,0
37,1,19,1,1050,40,2,1,1,2,1,1,1
67,2,19,1,3515,40,1,1,1,1,1,1,0
69,1,16,1,6305,40,1,1,1,1,1,1,0
47,1,16,5,7855,40,1,1,2,2,1,1,1
13,1,9,5,4120,40,1,1,2,2,1,1,0
8,1,4,5,4120,40,1,1,1,1,1,1,0
65,1,22,1,4120,40,1,1,1,1,1,1,1
6,2,4,5,4120,40,1,1,1,2,1,1,0
58,2,20,2,3500,40,5,1,2,1,1,1,0
65,2,18,3,4120,40,1,1,2,2,1,1,0
57,2,19,1,5740,36,1,1,1,2,1,1,1
58,1,22,3,3930,40,2,1,2,2,1,1,0
21,1,15,4,7750,45,1,1,1,2,1,1,0
77,1,19,1,4120,40,1,1,1,1,1,1,0
21,2,19,5,4760,40,1,1,1,2,1,1,0
57,1,16,1,3140,40,1,1,1,1,1,1,1
28,1,16,5,4020,40,1,1,2,2,1,1,0
71,2,19,2,4120,40,1,1,1,2,1,1,0
53,1,20,1,8500,45,7,1,1,2,1,1,1
81,1,16,1,4120,40,1,1,1,2,1,1,0
16,2,13,5,4120,40,1,1,1,2,1,1,0
93,2,16,2,4120,40,1,1,1,1,1,1,0
28,1,18,1,7410,40,1,1,1,2,1,1,1
66,2,18,2,5710,40,2,1,1,2,1,1,0
47,2,24,1,4120,40,1,1,1,2,1,1,0
75,2,20,1,4120,40,1,1,1,2,1,1,0
78,1,15,1,4120,40,1,1,1,2,1,1,0
78,2,16,2,4120,40,1,1,1,2,1,1,0
17,1,13,5,4120,40,1,1,8,2,1,1,0
3,2,1,5,4120,40,1,1,2,2,1,1,0
77,1,23,1,3090,40,1,1,1,2,1,1,1
71,1,21,1,4120,40,1,1,1,1,1,1,0
3,1,1,5,4120,40,1,1,1,2,1,1,0
15,1,13,5,4120,40,1,1,2,1,1,1,0
37,1,18,1,1108,40,5,1,1,2,1,1,1
73,1,16,1,4120,40,1,1,1,1,1,1,1
71,1,16,3,5350,40,6,1,1,2,1,1,0
82,1,20,1,4120,40,1,1,1,1,1,1,0
10,1,7,5,4120,40,1,1,2,2,1,1,0
39,2,21,3,2360,40,1,1,1,1,2,1,0
73,2,23,1,136,40,1,1,1,2,1,1,0
35,2,20,1,2300,40,1,3,1,1,1,1,0
64,1,16,1,8940,40,1,1,1,2,1,1,0
93,2,13,2,8800,40,1,1,2,2,1,1,0
62,2,21,1,440,50,1,1,1,2,1,1,1
12,1,8,5,4120,40,1,1,1,2,1,1,0
65,2,16,3,4850,40,1,1,1,1,1,1,0
73,2,22,3,4120,40,1,1,1,1,1,1,0
35,1,16,1,440,40,7,1,1,2,1,1,1
19,1,14,5,4120,40,1,1,1,1,1,1,0
14,2,11,5,4120,40,1,1,1,2,1,1,0
68,2,18,1,5740,40,4,1,1,1,1,1,1
47,1,20,1,440,30,7,1,1,2,1,1,0
11,1,7,5,4120,40,1,1,1,2,1,1,0
28,1,19,1,9040,50,5,1,1,2,1,1,0
59,1,23,2,8620,60,1,1,2,2,1,1,1
70,1,18,1,4120,40,1,1,1,2,1,1,0
72,2,22,1,4120,40,1,1,1,2,1,1,0
88,2,16,2,4120,40,1,1,1,2,1,1,0
66,1,20,1,4120,40,1,1,1,2,1,1,1
65,2,21,1,3255,40,1,1,1,2,1,1,1
88,1,22,1,4120,40,1,1,1,2,1,1,0
75,1,16,1,1108,40,1,1,1,2,1,1,0
69,1,21,1,4810,40,1,1,1,2,1,1,1
68,2,20,1,4120,40,1,1,1,2,1,1,0
47,1,21,1,3160,40,1,1,1,2,1,1,1
49,2,17,3,3602,35,1,1,1,1,2,1,1
55,1,21,1,4710,50,6,1,1,2,1,1,1
45,2,21,1,4230,40,1,4,6,2,1,2,0
70,2,22,1,4120,40,1,1,1,2,1,1,0
65,1,16,4,8950,60,7,1,1,1,1,1,1
60,1,16,1,7200,40,1,1,1,1,1,1,1
5,1,1,5,4120,40,1,1,1,2,1,1,0
78,1,16,1,4120,40,1,1,1,1,1,1,0
2,1,18,5,4120,40,1,1,9,2,1,1,0
22,1,18,5,6260,50,6,1,1,2,1,1,0
43,2,22,1,137,8,3,1,1,2,1,1,1
48,1,22,1,2320,8,3,1,9,2,1,1,1
65,1,20,3,4120,40,1,4,6,1,1,2,0
41,2,16,1,4120,40,1,1,2,2,2,1,0
51,2,1,3,5810,60,1,1,1,2,2,1,0
63,1,16,3,4120,40,1,1,1,1,1,1,0
11,1,9,5,4120,40,1,1,2,2,1,1,0
36,2,22,1,3230,15,1,1,1,2,1,1,0
