Model,AUC,Accuracy,Precision,Recall,F1
Logistic Regression,0.8643110183342283,0.8201783333648538,0.8110190376080051,0.8201783333648539,0.8115717166320708
Decision Tree,0.6312429067105758,0.8430872180745164,0.8380141112965043,0.8430872180745164,0.8393510782200082
Random Forest,0.9016584739937435,0.8429121991702309,0.8366222526144184,0.8429121991702309,0.8368985062943467
Gradient Boosted Trees,0.9082561757466041,0.8463468650299728,0.8416434812175698,0.8463468650299728,0.8429321765882997
